epoch	train_mse	test_mse	test_accuracy
728	0.247237	0.246635	0.5488
729	0.247235	0.246632	0.5488
730	0.247233	0.246630	0.5488
731	0.247231	0.246628	0.5488
732	0.247228	0.246625	0.5488
733	0.247226	0.246623	0.5488
734	0.247224	0.246620	0.5488
735	0.247222	0.246618	0.5488
736	0.247220	0.246616	0.5488
737	0.247217	0.246613	0.5488
738	0.247215	0.246611	0.5488
739	0.247213	0.246609	0.5488
740	0.247211	0.246606	0.5488
741	0.247209	0.246604	0.5488
742	0.247206	0.246601	0.5488
743	0.247204	0.246599	0.5488
744	0.247202	0.246597	0.5488
745	0.247200	0.246594	0.5488
746	0.247197	0.246592	0.5488
747	0.247195	0.246590	0.5488
748	0.247193	0.246587	0.5488
749	0.247191	0.246585	0.5488
750	0.247188	0.246582	0.5488
751	0.247186	0.246580	0.5488
752	0.247184	0.246577	0.5488
753	0.247181	0.246575	0.5488
754	0.247179	0.246573	0.5488
755	0.247177	0.246570	0.5488
756	0.247175	0.246568	0.5488
757	0.247172	0.246565	0.5488
758	0.247170	0.246563	0.5488
759	0.247168	0.246560	0.5488
760	0.247165	0.246558	0.5488
761	0.247163	0.246555	0.5488
762	0.247161	0.246553	0.5488
763	0.247158	0.246550	0.5488
764	0.247156	0.246548	0.5488
765	0.247154	0.246545	0.5488
766	0.247151	0.246543	0.5488
767	0.247149	0.246541	0.5488
768	0.247147	0.246538	0.5488
769	0.247144	0.246536	0.5488
770	0.247142	0.246533	0.5488
771	0.247140	0.246531	0.5488
772	0.247137	0.246528	0.5488
773	0.247135	0.246525	0.5488
774	0.247133	0.246523	0.5488
775	0.247130	0.246520	0.5488
776	0.247128	0.246518	0.5488
777	0.247125	0.246515	0.5488
778	0.247123	0.246513	0.5488
779	0.247121	0.246510	0.5488
780	0.247118	0.246508	0.5488
781	0.247116	0.246505	0.5488
782	0.247114	0.246503	0.5488
783	0.247111	0.246500	0.5488
784	0.247109	0.246498	0.5488
785	0.247106	0.246495	0.5488
786	0.247104	0.246492	0.5488
787	0.247101	0.246490	0.5488
788	0.247099	0.246487	0.5488
789	0.247097	0.246485	0.5488
790	0.247094	0.246482	0.5488
791	0.247092	0.246479	0.5488
792	0.247089	0.246477	0.5488
793	0.247087	0.246474	0.5488
794	0.247084	0.246472	0.5488
795	0.247082	0.246469	0.5488
796	0.247079	0.246466	0.5488
797	0.247077	0.246464	0.5488
798	0.247075	0.246461	0.5488
799	0.247072	0.246459	0.5488
800	0.247070	0.246456	0.5488
801	0.247067	0.246453	0.5488
802	0.247065	0.246451	0.5488
803	0.247062	0.246448	0.5488
804	0.247060	0.246445	0.5488
805	0.247057	0.246443	0.5488
806	0.247055	0.246440	0.5488
807	0.247052	0.246437	0.5488
808	0.247050	0.246435	0.5488
809	0.247047	0.246432	0.5488
810	0.247045	0.246429	0.5488
811	0.247042	0.246427	0.5488
812	0.247039	0.246424	0.5488
813	0.247037	0.246421	0.5488
814	0.247034	0.246418	0.5488
